"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";"SUPPLIER";
"2";"1000u";"CPOL-USE3.5-10";"E3,5-10";"C16, C17";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"12";"100k";"R-US_R0805";"R0805";"R3, R7, R8, R9, R10, R11, R12, R16, R25, R26, R27, R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"100k";"TRIMMER";"TRIM1";"POT1";"Trimpots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100n";"C-EUC0805";"C0805";"C1, C5, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"100p";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"4";"10k";"R-US_R0805";"R0805";"R6, R15, R17, R21";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"3";"1M";"R-US_R0805";"R0805";"R2, R4, R20";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"5";"1N4148WS";"1N4148WS";"SODFL2512X100N";"D1, D2, D3, D4, D5";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"";"";"";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";"";
"1";"1k";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"1n";"C-EUC0805";"C0805";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"7";"1u";"C-EUC0805";"C0805";"C4, C7, C10, C13, C14, C15, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"2";"20k";"R-US_R0805";"R0805";"R14, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"330p";"C-EUC0805";"C0805";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"33k";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"4";"3k3";"R-US_R0805";"R0805";"R13, R18, R28, R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"470p";"C-EUC0805";"C0805";"C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"4";"47R";"R-US_R0805";"R0805";"R19, R22, R24, R31";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"2";"47n";"C-EUC0805";"C0805";"C6, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"2";"IRF740";"IRF740";"TO220BV";"Q5, Q6";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"1";"LM393DG";"LM393DG";"SOIC127P600X175-8N";"U1";"Low Offset Voltage Dual Comparators";"";"";"";"";"";"";"";"";"";"LM393DG";"1343575";"88H4661";"SOIC-8";"";"";"";"";"ON SEMICONDUCTOR";
"12";"LSP10";"LSP10";"LSP10";"+9, +9R, +9S, GND, G_GND, HAR, IN, LI, LK, LO, X+, X-";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"1";"MMBF5457";"MMBF5457";"SOT96P237X111-3N";"Q1";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"1.11mm";"onsemi";"MMBF5457";"";"512-MMBF5457";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBF5457?qs=ljbEvF4DwONFsVNWUpfPPg%3D%3D";"";"";"";"";"";"";"";"";"";"";
"3";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"T1, T2, T3";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"3";"MMBT3906";"MMBT3906LT1SMD";"SOT23-BEC";"Q2, Q3, Q4";"PNP Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";
"1";"TL062D";"TL062D";"SO08";"IC1";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"1";"TL064D";"TL064D";"SO14";"IC2";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
