Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.89,25.40,Top,0.0
C2, 3.81,19.05,Top,180.0
C3, 8.89, 7.62,Top,0.0
C4, 3.81, 7.62,Top,180.0
C5,13.97,25.40,Top,0.0
C6,24.13, 2.54,Top,0.0
C7,13.97, 2.54,Top,0.0
C8,24.13,25.40,Top,0.0
C9,13.97,10.16,Top,0.0
C10,24.13,16.51,Top,180.0
C11,24.13,10.16,Top,180.0
C12,24.13, 7.62,Top,180.0
C13,24.13,13.97,Top,0.0
C14,35.56,16.51,Top,180.0
C15,48.26,13.97,Top,270.0
C18,10.16, 3.81,Top,90.0
D1,38.10,10.16,Top,90.0
D2,40.64,10.16,Top,270.0
D3,35.56,19.05,Top,180.0
D4,58.42,13.97,Top,270.0
D5,55.88,13.97,Top,90.0
IC1,29.21,16.51,Top,0.0
IC2,16.51,16.51,Top,0.0
Q1, 3.81,15.24,Top,270.0
Q2, 8.89,15.24,Top,180.0
Q3,52.07,12.70,Top,90.0
Q4,52.07,16.51,Top,90.0
R1, 8.89,22.86,Top,0.0
R2,19.05,25.40,Top,0.0
R3, 8.89,19.05,Top,180.0
R4, 3.81,10.16,Top,0.0
R5, 8.89,10.16,Top,0.0
R6,13.97, 5.08,Top,180.0
R7,13.97,22.86,Top,0.0
R8,33.02, 3.81,Top,270.0
R9,29.21, 7.62,Top,0.0
R10,19.05,22.86,Top,180.0
R11,33.02,24.13,Top,90.0
R12,29.21,10.16,Top,0.0
R13,19.05, 2.54,Top,180.0
R14,24.13,22.86,Top,0.0
R15,13.97, 7.62,Top,180.0
R16,33.02,10.16,Top,90.0
R17,35.56, 3.81,Top,90.0
R18,35.56,10.16,Top,270.0
R19,38.10,24.13,Top,270.0
R20,40.64,24.13,Top,270.0
R21,43.18,10.16,Top,270.0
R22,24.13,19.05,Top,0.0
R23,24.13, 5.08,Top,180.0
R24,19.05, 5.08,Top,180.0
R25,43.18, 3.81,Top,270.0
R26,19.05, 7.62,Top,0.0
R27,19.05,10.16,Top,0.0
R28,35.56,13.97,Top,180.0
R29,60.96,13.97,Top,90.0
R30,43.18,24.13,Top,270.0
R31,35.56,24.13,Top,90.0
T1,29.21, 3.81,Top,180.0
T2,29.21,24.13,Top,180.0
T3,39.37, 3.81,Top,180.0
U1,40.64,16.51,Top,90.0
